##NAMES=Abramovite
##RRUFFID=R070037
##IDEAL CHEMISTRY=Pb^2+^_2_Sn^4+^In^3+^Bi^3+^S^2-^_7_
##LOCALITY=Kudryaviy Volcano, Iturup Island, Kurilian Archipelago, Russia
##OWNER=Michael Scott
##SOURCE=Michael Scott
##DESCRIPTION=Dark gray metallic twisted and distorted fibers in a radiating aggregate, co-type sample.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R070037
741.7388, 114.0371
742.2209, 117.3772
742.7031, 92.97266
743.1852, 52.77808
743.6673, 33.82764
744.1494, 34.87842
744.6315, 42.19873
745.1136, 52.54321
745.5958, 62.20361
746.0779, 66.29858
746.5600, 65.43896
747.0421, 64.12134
747.5242, 64.77979
748.0063, 64.81860
748.4885, 63.62646
748.9706, 61.31006
749.4527, 52.80786
749.9348, 31.89062
750.4169, 15.75854
750.8990, 20.27271
751.3812, 44.72314
751.8633, 48.90186
752.3454, 30.89551
752.8275, 10.49829
753.3096, 2.640137
753.7917, 5.385742
754.2739, 18.19824
754.7560, 43.00537
755.2381, 66.11963
755.7202, 81.78809
756.2023, 91.82080
756.6844, 98.41553
757.1666, 104.1233
757.6487, 101.6777
758.1308, 83.67725
758.6129, 61.46973
759.0950, 52.54541
759.5771, 56.13501
760.0593, 61.97461
760.5414, 70.15234
761.0235, 75.32007
761.5056, 65.99731
761.9877, 48.24854
762.4698, 36.28955
762.9520, 37.37012
763.4341, 42.16968
763.9162, 46.17139
764.3983, 50.10083
764.8804, 55.43628
765.3625, 67.85913
765.8447, 74.50854
766.3268, 72.97656
766.8089, 64.58154
767.2910, 49.54810
767.7731, 26.49902
768.2552, 15.68237
768.7374, 32.20337
769.2195, 57.90186
769.7016, 52.87817
770.1837, 25.60767
770.6658, 9.817383
771.1479, 42.05615
771.6301, 74.96069
772.1122, 73.81055
772.5943, 43.45166
773.0764, 26.55933
773.5585, 40.62109
774.0406, 54.75635
774.5228, 58.45215
775.0049, 52.59814
775.4870, 49.43066
775.9691, 48.53296
776.4512, 53.53589
776.9333, 74.36304
777.4155, 100.6023
777.8976, 108.0229
778.3797, 97.09302
778.8618, 82.65308
779.3439, 69.59546
779.8260, 59.75659
780.3082, 53.15503
780.7903, 49.28101
781.2724, 57.08521
781.7545, 90.91284
782.2366, 117.8042
782.7188, 113.7295
783.2009, 74.09790
783.6830, 57.72168
784.1651, 67.11743
784.6472, 82.68164
785.1293, 88.71240
785.6115, 87.22729
786.0936, 81.93408
786.5757, 73.31665
787.0578, 61.51831
787.5399, 35.37085
788.0220, 13.31519
788.5042, 13.89307
788.9863, 61.92114
789.4684, 83.03247
789.9505, 62.59790
790.4326, 32.59473
790.9147, 27.05396
791.3969, 47.28516
791.8790, 57.49902
792.3611, 54.31763
792.8432, 40.34302
793.3253, 5.553467
793.8074, 33.61572
794.2896, 44.50073
794.7717, 9.670410
795.2537, 25.10107
795.7358, 34.45166
796.2180, 32.37158
796.7001, 36.51978
797.1822, 57.50854
797.6643, 68.36133
798.1464, 62.90088
798.6285, 52.93091
799.1107, 58.97144
799.5928, 79.86572
800.0749, 87.46582
800.5570, 71.96533
801.0391, 52.25195
801.5212, 55.31177
802.0034, 71.41968
802.4855, 77.15894
802.9676, 53.87354
803.4497, 38.39551
803.9318, 52.90405
804.4139, 80.42334
804.8961, 89.85791
805.3782, 69.33594
805.8603, 58.89453
806.3424, 65.62622
806.8245, 83.60205
807.3066, 107.1155
807.7888, 133.6658
808.2709, 148.1428
808.7530, 144.5496
809.2351, 128.7722
809.7172, 94.28638
810.1993, 53.42188
810.6815, 30.39819
811.1636, 54.63623
811.6457, 72.43872
812.1278, 68.04883
812.6099, 50.02515
813.0920, 35.13257
813.5742, 25.57300
814.0563, 15.66528
814.5384, 0.9445800
815.0205, 12.82251
815.5026, 10.76123
815.9847, 59.47266
816.4669, 96.20483
816.9490, 99.18311
817.4311, 88.49805
817.9132, 70.03027
818.3953, 48.28394
818.8774, 34.76514
819.3596, 40.57935
819.8417, 43.11206
820.3238, 32.52563
820.8059, 17.81079
821.2880, 33.70850
821.7701, 82.59937
822.2523, 110.4678
822.7344, 87.78076
823.2165, 45.69263
823.6986, 31.24829
824.1807, 37.16187
824.6628, 42.56738
825.1450, 36.61499
825.6271, 29.81592
826.1092, 27.52271
826.5913, 28.22681
827.0734, 24.51855
827.5555, 10.20020
828.0377, 5.868896
828.5198, 20.70215
829.0019, 46.23315
829.4840, 60.36011
829.9661, 63.59497
830.4482, 59.24487
830.9304, 41.30493
831.4125, 23.67114
831.8946, 21.04565
832.3767, 29.48120
832.8588, 38.41553
833.3409, 46.79126
833.8231, 54.00220
834.3052, 64.56226
834.7873, 74.75781
835.2694, 67.02319
835.7515, 37.69702
836.2336, 14.89795
836.7158, 11.22852
837.1979, 16.76392
837.6800, 8.806641
838.1621, 6.375732
838.6442, 9.244629
839.1263, 29.13403
839.6085, 62.98877
840.0906, 57.10547
840.5727, 27.15845
841.0548, 24.52539
841.5369, 77.53809
842.0190, 108.2388
842.5012, 92.58472
842.9833, 48.15308
843.4654, 18.93213
843.9475, 5.120605
844.4296, 6.580078
844.9117, 30.80396
845.3939, 60.49487
845.8760, 78.57178
846.3581, 87.89819
846.8402, 94.72021
847.3223, 105.1340
847.8044, 108.0198
848.2866, 96.72485
848.7687, 78.07275
849.2508, 68.39526
849.7329, 70.26514
850.2150, 63.96436
850.6971, 39.20288
851.1793, 12.08716
851.6614, 11.18115
852.1435, 29.90845
852.6256, 51.58984
853.1077, 71.31030
853.5898, 84.30957
854.0720, 83.48267
854.5541, 76.64331
855.0362, 81.10620
855.5183, 107.2434
856.0004, 118.0864
856.4825, 105.2192
856.9647, 80.06250
857.4468, 63.39819
857.9289, 53.65967
858.4110, 37.07959
858.8931, 1.433350
859.3752, 22.33374
859.8574, 11.77710
860.3395, 70.68091
860.8216, 105.8809
861.3036, 89.30884
861.7858, 66.29492
862.2679, 30.98730
862.7500, 0.6477050
863.2321, 4.976563
863.7142, 45.25122
864.1964, 63.99487
864.6785, 47.14038
865.1606, 23.57764
865.6427, 34.40552
866.1248, 62.19385
866.6069, 74.64355
867.0891, 55.73193
867.5712, 40.16113
868.0533, 47.08667
868.5354, 60.27100
869.0175, 63.39941
869.4996, 55.39746
869.9818, 37.34839
870.4639, 4.109375
870.9460, 25.00000
871.4281, 23.28076
871.9102, 0.9360350
872.3923, 11.59595
872.8745, 8.512939
873.3566, 3.415283
873.8387, 1.314453
874.3208, 1.506104
874.8029, 9.155518
875.2850, 42.06396
875.7672, 53.64795
876.2493, 34.40332
876.7314, 9.560791
877.2135, 2.628906
877.6956, 2.907959
878.1777, 2.469971
878.6599, 13.29688
879.1420, 26.53369
879.6241, 42.96338
880.1062, 58.35059
880.5883, 69.55933
881.0704, 76.44751
881.5526, 75.42896
882.0347, 51.59180
882.5168, 35.90015
882.9989, 47.12988
883.4810, 83.93530
883.9631, 100.4985
884.4453, 96.03955
884.9274, 84.69922
885.4095, 72.08203
885.8916, 60.44897
886.3737, 51.92236
886.8558, 46.86157
887.3380, 47.16748
887.8201, 60.59766
888.3022, 72.50635
888.7843, 81.08911
889.2664, 84.22168
889.7485, 62.03931
890.2307, 7.253906
890.7128, 27.78223
891.1949, 12.21338
891.6770, 28.87329
892.1591, 51.85938
892.6412, 59.69556
893.1234, 61.64624
893.6055, 58.33789
894.0876, 54.17773
894.5697, 50.75952
895.0518, 47.98267
895.5339, 44.91772
896.0161, 39.71460
896.4982, 39.46313
896.9803, 49.92798
897.4624, 60.39819
897.9445, 49.21313
898.4266, 22.98438
898.9088, 1.544189
899.3909, 9.068359
899.8730, 12.08228
900.3551, 4.260010
900.8372, 8.172363
901.3193, 16.19702
901.8015, 14.84570
902.2836, 18.20239
902.7657, 28.00708
903.2478, 40.77783
903.7299, 57.51465
904.2120, 74.50659
904.6942, 70.02319
905.1763, 37.51904
905.6584, 9.055176
906.1405, 13.70044
906.6226, 31.90894
907.1047, 46.15771
907.5869, 53.17212
908.0690, 58.68213
908.5511, 66.76978
909.0332, 67.16260
909.5153, 45.97095
909.9974, 7.226074
910.4796, 6.589111
910.9617, 4.564209
911.4438, 15.80054
911.9259, 1.955811
912.4080, 20.45459
912.8901, 7.999756
913.3723, 35.84985
913.8544, 61.57056
914.3365, 50.74756
914.8186, 37.02026
915.3007, 30.89185
915.7828, 31.56592
916.2650, 38.75073
916.7471, 51.45557
917.2292, 54.91284
917.7113, 35.87207
918.1934, 13.81860
918.6755, 14.24854
919.1577, 28.14209
919.6398, 31.38623
920.1219, 7.651123
920.6040, 23.51953
921.0861, 5.461670
921.5682, 54.65796
922.0504, 73.64014
922.5325, 63.37305
923.0146, 50.82153
923.4967, 41.99292
923.9788, 35.65430
924.4609, 23.73315
924.9431, 15.99976
925.4252, 28.89795
925.9073, 94.33472
926.3894, 127.4216
926.8715, 98.12524
927.3536, 55.82788
927.8357, 48.59595
928.3178, 76.77026
928.7999, 86.14966
929.2820, 74.08911
929.7642, 61.28467
930.2463, 67.28247
930.7284, 78.92285
931.2105, 79.03882
931.6926, 64.26416
932.1747, 57.46240
932.6569, 76.18530
933.1390, 90.33374
933.6211, 84.44287
934.1032, 61.08911
934.5853, 46.83765
935.0674, 41.61816
935.5496, 47.82617
936.0317, 81.66846
936.5138, 116.7971
936.9959, 122.7261
937.4780, 105.5381
937.9601, 87.75806
938.4423, 71.36426
938.9244, 61.44336
939.4065, 58.18140
939.8886, 62.27466
940.3707, 78.63306
940.8528, 106.7891
941.3350, 130.5564
941.8171, 147.6558
942.2992, 153.5017
942.7813, 130.7502
943.2634, 98.49658
943.7455, 84.55396
944.2277, 111.2671
944.7098, 129.3738
945.1919, 132.6357
945.6740, 129.0593
946.1561, 123.9277
946.6382, 117.5706
947.1204, 117.2285
947.6025, 123.3738
948.0846, 134.8708
948.5667, 152.7371
949.0488, 173.9775
949.5309, 194.4236
950.0131, 212.9131
950.4952, 223.2056
950.9773, 212.3154
951.4594, 212.8950
951.9415, 246.9150
952.4236, 302.6235
952.9058, 320.4932
953.3879, 303.6174
953.8700, 281.5161
954.3521, 255.4541
954.8342, 243.5171
955.3163, 276.4006
955.7985, 334.3271
956.2806, 368.0835
956.7627, 356.8032
957.2448, 338.3921
957.7269, 311.4365
958.2090, 290.5579
958.6912, 306.4604
959.1733, 350.6021
959.6554, 381.5837
960.1375, 387.8347
960.6196, 393.7485
961.1017, 425.1829
961.5839, 460.5581
962.0660, 477.1970
962.5481, 463.8293
963.0302, 461.0417
963.5123, 469.3611
963.9944, 486.8984
964.4766, 522.9128
964.9587, 566.2693
965.4408, 575.2832
965.9229, 552.6082
966.4050, 525.7080
966.8871, 502.4802
967.3693, 488.2039
967.8514, 493.2073
968.3335, 511.5759
968.8156, 514.5649
969.2977, 498.4812
969.7798, 477.5381
970.2620, 451.3979
970.7441, 428.9902
971.2262, 428.4451
971.7083, 440.2949
972.1904, 442.4883
972.6725, 422.0051
973.1547, 400.8889
973.6368, 392.8142
974.1189, 384.6562
974.6010, 359.1462
975.0831, 306.3896
975.5652, 284.4138
976.0474, 300.0708
976.5295, 321.9238
977.0116, 323.3877
977.4937, 311.6006
977.9758, 292.1501
978.4579, 265.3716
978.9401, 247.4849
979.4222, 254.8052
979.9043, 255.1545
980.3864, 229.9238
980.8685, 187.5674
981.3506, 182.3479
981.8328, 212.6357
982.3149, 223.4668
982.7970, 169.1992
983.2791, 112.3113
983.7612, 132.1877
984.2433, 192.7732
984.7255, 225.8293
985.2076, 190.3560
985.6897, 159.7686
986.1718, 137.7942
986.6539, 122.9578
987.1360, 113.0522
987.6182, 108.6794
988.1003, 115.8103
988.5824, 133.3179
989.0645, 149.0505
989.5466, 159.5840
990.0287, 159.0530
990.5109, 134.0178
990.9930, 80.57886
991.4751, 61.45337
991.9572, 87.20801
992.4393, 116.6804
992.9214, 132.5869
993.4035, 136.8154
993.8856, 131.8950
994.3677, 118.6304
994.8499, 100.3667
995.3320, 61.58057
995.8141, 37.35474
996.2962, 54.48730
996.7783, 88.32544
997.2604, 100.9436
997.7426, 87.42432
998.2247, 88.43945
998.7068, 112.8418
999.1889, 132.6621
999.6710, 102.7451
1000.153, 55.79858
1000.635, 38.42896
1001.117, 60.05835
1001.599, 86.82031
1002.082, 122.6707
1002.564, 144.3647
1003.046, 136.0823
1003.528, 103.4641
1004.010, 86.52051
1004.492, 84.02148
1004.974, 83.36572
1005.456, 76.12329
1005.939, 69.47266
1006.421, 72.85010
1006.903, 80.31445
1007.385, 77.44482
1007.867, 53.92896
1008.349, 40.75757
1008.831, 43.36133
1009.313, 51.81787
1009.795, 54.78613
1010.278, 52.97144
1010.760, 48.63892
1011.242, 42.37183
1011.724, 30.29932
1012.206, 0.4609380
1012.688, 28.13916
1013.170, 41.34302
1013.652, 40.03516
1014.135, 11.42627
1014.617, 48.93628
1015.099, 88.02686
1015.581, 60.42651
1016.063, 14.93164
1016.545, 23.90527
1017.027, 65.94165
1017.509, 92.97192
1017.991, 74.61108
1018.474, 61.73364
1018.956, 61.76465
1019.438, 67.35010
1019.920, 68.74780
1020.402, 67.01343
1020.884, 75.08765
1021.366, 95.39404
1021.848, 102.9089
1022.331, 59.59912
1022.813, 11.11523
1023.295, 6.380127
1023.777, 9.922607
1024.259, 28.48071
1024.741, 50.71484
1025.223, 70.05420
1025.705, 85.80493
1026.187, 94.76807
1026.670, 85.72266
1027.152, 65.14990
1027.634, 48.84302
1028.116, 42.53979
1028.598, 41.60547
1029.080, 50.65820
1029.562, 59.69995
1030.044, 59.07056
1030.526, 48.58105
1031.009, 28.02271
1031.491, 3.914795
1031.973, 19.27881
1032.455, 31.91699
1032.937, 88.82202
1033.419, 85.75537
1033.901, 25.41846
1034.383, 1.029053
1034.865, 39.45483
1035.348, 64.73071
1035.830, 50.79028
1036.312, 18.04126
1036.794, 1.708740
1037.276, 0.3120120
1037.758, 12.57520
1038.240, 50.19922
1038.722, 72.49243
1039.205, 45.96680
1039.687, 8.263184
1040.169, 10.30640
1040.651, 8.398926
1041.133, 2.615479
1041.615, 23.65186
1042.097, 38.10840
1042.579, 23.97803
1043.062, 5.086670
1043.544, 13.12817
1044.026, 39.47485
1044.508, 44.79321
1044.990, 1.388672
1045.472, 22.21997
1045.954, 3.298828
1046.436, 45.96411
1046.918, 58.14673
1047.401, 47.77832
1047.883, 35.33984
1048.365, 23.05347
1048.847, 20.34888
1049.329, 43.26196
1049.811, 67.84375
1050.293, 77.97559
1050.775, 73.96338
1051.257, 68.64600
1051.740, 61.79443
1052.222, 59.48364
1052.704, 73.52075
1053.186, 84.93066
1053.668, 61.41748
1054.150, 21.42017
1054.632, 4.110352
1055.114, 42.06763
1055.597, 61.04175
1056.079, 51.98145
1056.561, 34.01025
1057.043, 29.64038
1057.525, 33.22852
1058.007, 24.32227
1058.489, 2.132568
1058.971, 10.64014
1059.453, 5.081055
1059.936, 26.29688
1060.418, 45.31372
1060.900, 60.32178
1061.382, 63.41553
1061.864, 54.45142
1062.346, 44.97656
1062.828, 37.56836
1063.310, 33.41333
1063.792, 32.10962
1064.275, 33.78125
1064.757, 49.17432
1065.239, 95.32568
1065.721, 106.6558
1066.203, 69.36938
1066.685, 33.32471
1067.167, 42.28540
1067.649, 74.79517
1068.132, 69.35376
1068.614, 35.51904
1069.096, 12.18799
1069.578, 30.85498
1070.060, 44.80981
1070.542, 37.09839
1071.024, 18.72949
1071.506, 4.173340
1071.989, 4.854004
1072.471, 5.927734
1072.953, 1.314697
1073.435, 10.09375
1073.917, 17.25049
1074.399, 21.91626
1074.881, 20.83057
1075.363, 14.55640
1075.845, 19.44995
1076.328, 40.20483
1076.810, 53.71484
1077.292, 47.49072
1077.774, 36.98682
1078.256, 54.64111
1078.738, 84.11279
1079.220, 93.52124
1079.702, 59.02979
1080.184, 36.25391
1080.667, 35.16309
1081.149, 42.48047
1081.631, 55.43140
1082.113, 70.28564
1082.595, 60.04028
1083.077, 28.29199
1083.559, 2.325195
1084.041, 1.876953
1084.524, 3.077393
1085.006, 18.95410
1085.488, 37.00098
1085.970, 39.47998
1086.452, 24.23901
1086.934, 15.58765
1087.416, 16.98804
1087.898, 23.78735
1088.380, 36.10962
1088.863, 48.48584
1089.345, 55.94507
1089.827, 57.13037
1090.309, 51.80884
1090.791, 35.46118
1091.273, 19.68774
1091.755, 5.286377
1092.237, 1.146240
1092.719, 25.71387
1093.202, 68.52612
1093.684, 87.52612
1094.166, 58.90112
1094.648, 34.16626
1095.130, 22.80127
1095.612, 23.43335
1096.094, 43.36841
1096.576, 78.24243
1097.058, 78.47412
1097.541, 48.17114
1098.023, 21.89844
1098.505, 26.33765
1098.987, 36.15649
1099.469, 34.96655
1099.951, 30.30151
1100.433, 38.43506
1100.915, 63.54688
1101.398, 71.50439
1101.880, 57.55493
1102.362, 38.82520
1102.844, 18.28369
1103.326, 2.066162
1103.808, 0.6250000
1104.290, 9.072510
1104.772, 23.50879
1105.255, 45.43164
1105.737, 63.43140
1106.219, 76.17700
1106.701, 79.65430
1107.183, 57.89233
1107.665, 24.08618
1108.147, 5.336670
1108.629, 10.85864
1109.111, 19.32446
1109.594, 29.03345
1110.076, 35.69385
1110.558, 36.14087
1111.040, 31.81348
1111.522, 26.91943
1112.004, 23.02881
1112.486, 28.39258
1112.968, 60.50903
1113.450, 85.32617
1113.933, 80.22681
1114.415, 63.75220
1114.897, 56.52563
1115.379, 60.41187
1115.861, 70.89990
1116.343, 85.46631
1116.825, 91.16675
1117.307, 62.55688
1117.790, 34.49731
1118.272, 45.39526
1118.754, 83.11792
1119.236, 95.55786
1119.718, 76.32886
1120.200, 45.43433
1120.682, 0.8361820
1121.164, 33.10864
1121.646, 2.730225
1122.129, 63.52856
1122.611, 90.16577
1123.093, 74.30371
1123.575, 52.29712
1124.057, 21.10083
1124.539, 0.4157710
1125.021, 1.118164
1125.503, 9.727783
1125.985, 23.14014
1126.468, 36.91089
1126.950, 44.87793
1127.432, 42.35474
1127.914, 42.25586
1128.396, 48.43799
1128.878, 58.73657
1129.360, 75.64258
1129.842, 96.13452
1130.325, 101.1948
1130.807, 91.98462
1131.289, 73.84033
1131.771, 35.49487
1132.253, 5.210449
1132.735, 2.766602
1133.217, 4.105713
1133.699, 19.27686
1134.182, 43.84644
1134.664, 61.12891
1135.146, 70.25244
1135.628, 76.98950
1136.110, 87.52563
1136.592, 95.74097
1137.074, 97.73145
1137.556, 93.10889
1138.038, 81.25928
1138.521, 58.32178
1139.003, 46.16406
1139.485, 49.18652
1139.967, 57.91650
1140.449, 66.43384
1140.931, 74.03906
1141.413, 74.76562
1141.895, 70.07422
1142.377, 68.90234
1142.860, 75.72388
1143.342, 74.57300
1143.824, 57.96533
1144.306, 36.25366
1144.788, 25.16602
1145.270, 22.27002
1145.752, 22.16919
1146.234, 21.60425
1146.717, 36.47021
1147.199, 85.16406
1147.681, 122.1550
1148.163, 120.3315
1148.645, 92.69946
1149.127, 69.01587
1149.609, 52.46509
1150.091, 53.23364
1150.573, 91.52979
1151.056, 120.6765
1151.538, 126.0876
1152.020, 121.4209
1152.502, 115.0635
1152.984, 107.2974
1153.466, 93.80664
1153.948, 77.41675
1154.430, 77.21460
1154.912, 135.7063
1155.395, 176.1033
1155.877, 142.6052
1156.359, 84.35718
1156.841, 63.90015
1157.323, 80.46924
1157.805, 87.38696
1158.287, 81.06152
1158.769, 63.96802
1159.251, 9.396729
1159.734, 27.99731
1160.216, 11.04492
1160.698, 92.53369
1161.180, 117.7092
1161.662, 81.85010
1162.144, 53.74487
1162.626, 45.26636
1163.108, 46.23071
1163.591, 56.12378
1164.073, 64.17334
1164.555, 56.31030
1165.037, 33.77319
1165.519, 26.10303
1166.001, 35.41846
1166.483, 47.16553
1166.965, 60.22705
1167.448, 70.04858
1167.930, 70.74097
1168.412, 64.87842
1168.894, 52.40674
1169.376, 29.26392
1169.858, 28.60083
1170.340, 58.91406
1170.822, 78.53125
1171.304, 65.03247
1171.786, 34.41333
1172.269, 3.843506
1172.751, 36.30859
1173.233, 37.14233
1173.715, 23.70215
1174.197, 63.36865
1174.679, 76.47998
1175.161, 81.40112
1175.643, 92.65698
1176.126, 103.2747
1176.608, 95.81152
1177.090, 77.02808
1177.572, 64.40918
1178.054, 69.29614
1178.536, 73.18335
1179.018, 75.89966
1179.500, 73.80664
1179.983, 47.95483
1180.465, 13.03174
1180.947, 3.591064
1181.429, 17.46851
1181.911, 38.65161
1182.393, 76.04102
1182.875, 98.04883
1183.357, 97.48169
1183.839, 84.92432
1184.322, 66.47925
1184.804, 48.60156
1185.286, 55.73389
1185.768, 87.31250
1186.250, 104.7175
1186.732, 70.60693
1187.214, 47.80469
1187.696, 57.44287
1188.178, 81.01416
1188.661, 84.82593
1189.143, 74.18335
1189.625, 65.49243
1190.107, 61.20459
1190.589, 59.05981
1191.071, 56.80298
1191.553, 60.14917
1192.035, 75.74023
1192.518, 94.52881
1193.000, 87.81592
1193.482, 62.69043
1193.964, 46.54370
1194.446, 47.32617
1194.928, 52.32397
1195.410, 59.18066
1195.892, 65.45410
1196.375, 73.63940
1196.857, 79.09497
1197.339, 50.02393
1197.821, 2.085205
1198.303, 23.37183
1198.785, 16.11841
1199.267, 56.64844
1199.749, 75.47974
1200.231, 79.96924
1200.714, 70.75928
1201.196, 50.89575
1201.678, 45.78442
1202.160, 52.10327
1202.642, 49.43579
1203.124, 14.20557
1203.606, 7.249512
1204.088, 20.33179
1204.570, 59.65015
1205.053, 85.41162
1205.535, 97.04297
1206.017, 76.85229
1206.499, 32.03442
1206.981, 12.88159
1207.463, 92.73169
1207.945, 149.3430
1208.427, 91.24878
1208.910, 10.85229
1209.392, 6.953125
1209.874, 73.74341
1210.356, 108.2844
1210.838, 110.1638
1211.320, 100.6106
1211.802, 78.32080
1212.284, 63.49634
1212.766, 73.87769
1213.249, 91.13086
1213.731, 91.22900
1214.213, 75.92993
1214.695, 71.55615
1215.177, 78.80493
1215.659, 81.31519
1216.141, 62.08423
1216.623, 43.47290
1217.105, 34.57031
1217.588, 31.24902
1218.070, 35.70239
1218.552, 45.57422
1219.034, 58.55518
1219.516, 74.30127
1219.998, 86.26050
1220.480, 92.54688
1220.962, 91.19507
1221.445, 80.94189
1221.927, 63.40771
1222.409, 34.46484
1222.891, 1.730469
1223.373, 12.90869
1223.855, 6.018311
1224.337, 29.08984
1224.819, 51.21680
1225.301, 60.77539
1225.784, 44.74268
1226.266, 19.64233
1226.748, 35.53369
1227.230, 81.98853
1227.712, 99.15039
1228.194, 72.64160
1228.676, 52.00244
1229.158, 79.30518
1229.641, 100.9895
1230.123, 86.62573
1230.605, 51.16919
1231.087, 52.03857
1231.569, 81.48657
1232.051, 87.81567
1232.533, 54.50635
1233.015, 27.74365
1233.497, 38.04614
1233.979, 50.22583
1234.462, 44.83569
1234.944, 32.93115
1235.426, 59.96045
1235.908, 109.6941
1236.390, 124.4219
1236.872, 77.19849
1237.354, 40.12720
1237.836, 51.75391
1238.319, 63.72510
1238.801, 52.71777
1239.283, 29.48926
1239.765, 23.49243
1240.247, 31.68555
1240.729, 47.21143
1241.211, 71.99292
1241.693, 93.18359
1242.176, 116.5610
1242.658, 121.7122
1243.140, 88.61792
1243.622, 38.35669
1244.104, 26.81421
1244.586, 42.95264
1245.068, 60.54224
1245.550, 72.79785
1246.032, 83.00024
1246.515, 92.33130
1246.997, 98.89185
1247.479, 102.8398
1247.961, 102.3418
1248.443, 88.09351
1248.925, 67.36694
1249.407, 56.11523
1249.889, 70.87549
1250.371, 67.08472
1250.854, 36.03564
1251.336, 6.098877
1251.818, 5.610596
1252.300, 3.916504
1252.782, 9.995361
1253.264, 29.22144
1253.746, 39.20972
1254.228, 28.90088
1254.711, 27.66992
1255.193, 37.78882
1255.675, 44.02441
1256.157, 32.74072
1256.639, 19.86523
1257.121, 35.65186
1257.603, 64.65967
1258.085, 75.01343
1258.568, 60.23877
1259.050, 43.96265
1259.532, 25.44653
1260.014, 10.61279
1260.496, 4.393066
1260.978, 3.306396
1261.460, 3.037598
1261.942, 7.573975
1262.424, 27.02271
1262.906, 68.11914
1263.389, 86.12793
1263.871, 79.68848
1264.353, 69.97119
1264.835, 73.01025
1265.317, 76.02490
1265.799, 67.16187
1266.281, 54.20630
1266.763, 50.31738
1267.246, 56.39014
1267.728, 49.69727
1268.210, 30.06104
1268.692, 16.71802
1269.174, 20.12671
1269.656, 28.46802
1270.138, 39.33447
1270.620, 49.75732
1271.103, 56.86523
1271.585, 60.78027
1272.067, 59.88647
1272.549, 55.23438
1273.031, 55.18286
1273.513, 66.77979
1273.995, 80.90234
1274.477, 98.95386
1274.959, 112.5774
1275.442, 108.4177
1275.924, 92.36035
1276.406, 87.99023
1276.888, 93.52539
1277.370, 95.43188
1277.852, 90.50195
1278.334, 75.08765
1278.816, 41.78589
1279.298, 13.52271
1279.781, 17.47095
1280.263, 41.86597
1280.745, 68.17139
1281.227, 94.03979
1281.709, 114.3247
1282.191, 138.8079
1282.673, 128.3706
1283.155, 71.40503
1283.638, 15.47632
1284.120, 13.78516
1284.602, 34.45459
1285.084, 39.99243
1285.566, 32.64819
1286.048, 23.48999
1286.530, 12.42993
1287.012, 0.8525390
1287.495, 11.89209
1287.977, 13.54004
1288.459, 17.82812
1288.941, 53.38062
1289.423, 73.38403
1289.905, 77.03418
1290.387, 62.90186
1290.869, 28.00952
1291.351, 16.97339
1291.833, 32.06641
1292.316, 49.84351
1292.798, 63.39062
1293.280, 65.46802
1293.762, 40.32153
1294.244, 9.044189
1294.726, 2.996338
1295.208, 2.288330
1295.690, 8.711426
1296.172, 15.64868
1296.655, 25.39355
1297.137, 50.99854
1297.619, 61.97534
1298.101, 46.53491
1298.583, 22.67700
1299.065, 6.009277
1299.547, 2.140625
1300.029, 3.749023
1300.512, 22.73706
1300.994, 39.04077
1301.476, 37.12695
1301.958, 33.58423
1302.440, 28.77393
1302.922, 24.86377
1303.404, 25.36328
1303.886, 24.45264
1304.369, 18.90039
1304.851, 10.21802
1305.333, 11.98975
1305.815, 31.54102
1306.297, 32.61572
1306.779, 18.38501
1307.261, 4.790527
1307.743, 8.303467
1308.225, 17.67505
1308.708, 27.41821
1309.190, 34.42236
1309.672, 34.56445
1310.154, 26.97437
1310.636, 17.86450
1311.118, 7.911621
1311.600, 0.6633300
1312.082, 0.0000000E+00
##END=



